text,n_instances,mean_complexity,genre,epoche,date
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, 63",4,3135,Brief,Altes Reich,-2263
"Leiden, Rijksmuseum van Oudheden, L.I.2",162,3134.72222222222,Buch vom Durchwandern der Ewigkeit,Griechisch-römische Zeit,64.5
"London, British Museum, EA 10185",231,3131.31601731602,Literarischer Text,Neues Reich,-1203.5
"Manchester, John Rylands Library, Dem. 9",73,3129.82191780822,Petition,Spätzeit,-513.5
"Paris, Musée du Louvre, E 6858",2,3128,Götterdekret,Dritte Zwischenzeit,-973.5
"Leipzig, Ägyptisches Museum der Universität Leipzig – Georg Steindorff, 495",7,3127.57142857143,Namenliste/Onomasticon,Neues Reich,-1452
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3073 London, British Museum, EA 10265 + EA 10266 New York City, Pierpont Morgan Library, Amherst 41",81,3125.59259259259,Totenbuch,Griechisch-römische Zeit,-181
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 15724",4,3121.25,Administrativer Text,Altes Reich,-2263
"P. Strasbourg Bc",6,3121.16666666667,nicht spezifiziert,Altes Reich,-2263
"Sankt Petersburg, State Hermitage Museum, ДВ 1116 A vo",146,3120.8904109589,Lehre,Neues Reich,-1376
"D. Hatnub 52",1,3113,Biographischer Text,Zweite Zwischenzeit,-1565
"P. Illahun, Tempeltagebuch Jahr 14",1,3112,nicht spezifiziert,Mittleres Reich,-1852.5
"Turin, Museo Egizio, CGT 57054",7,3109.42857142857,Kemit,Neues Reich,-1182
"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.313",125,3106.624,Buch vom Atmen,Griechisch-römische Zeit,-9.5
"Albany (NY), Albany Institute of History & Art, 1900.3.1 Kairo, Ägyptisches Museum, JE 95649 + JE 95714 Marseille, Musée d'Archéologie Mediterranéenne, 291 + 91 / 2 / 1",1,3104,Totenbuch,Spätzeit,-594.5
"London, Petrie Museum of Egyptian Archaeology, UC 32037",3,3101.33333333333,Juristische Urkunde,Mittleres Reich,-1792.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10473 + P. 10474 A–B",33,3098.42424242424,Administrativer Text,Altes Reich,-2465
"Turin, Museo Egizio, CGT 57034",5,3098.4,Administrativer Text,Neues Reich,-1162.5
"Brooklyn (NY), The Brooklyn Museum, 47.218.84",12,3097.91666666667,Mythologischer Text,Spätzeit,-637
"P. Illahun, Tempeltagebuch Jahr 6",1,3097,nicht spezifiziert,Mittleres Reich,-1852.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3030 A-E",170,3096.32352941176,Buch vom Atmen,Griechisch-römische Zeit,124.5
"Turin, Museo Egizio, CGT 57015",5,3093.6,Administrativer Text,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3024 New York City, Pierpont Morgan Library, Amh. Egy. Pap. 3",151,3092.49668874172,Literarischer Text,Mittleres Reich,-1808.5
"Kairo, Ägyptisches Museum, CG 61018",1,3091,nicht spezifiziert,Dritte Zwischenzeit,-968.5
"Kairo, Institut français d’archéologie orientale, 1817",35,3090,Administrativer Text,Neues Reich,-1193.5
"Kairo, Institut français d’archéologie orientale, OL 20",6,3082.5,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 57060",15,3082.33333333333,Kemit,Neues Reich,-1182
