sign_id,grapheme_id,mdc,Unicode,ht_local_path,schriftart,text,datierung,datierung_href,in_text_selection
505,58,B1,𓁐,svgs/ht/ht_505.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 7809 + P. 7810 Paris, Musée du Louvre, AF 11112","Griechisch-römische Zeit, Antoninische Dynastie, Trajan – Griechisch-römische Zeit, Antoninische Dynastie, Antoninus Pius",https://aku-pal.uni-mainz.de/datings/154,FALSE
506,60,B7C,B7C,svgs/ht/ht_506.svg,Hieratisch,"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.313","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 21, Tag 28, Mesore",https://aku-pal.uni-mainz.de/datings/113,FALSE
507,60,B7C,B7C,svgs/ht/ht_507.svg,Hieratisch,"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.314","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 19, Tag 26, Pachon",https://aku-pal.uni-mainz.de/datings/114,FALSE
508,58,B1,𓁐,svgs/ht/ht_508.svg,Hieratisch,"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.313","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 21, Tag 28, Mesore",https://aku-pal.uni-mainz.de/datings/113,FALSE
509,58,B1,𓁐,svgs/ht/ht_509.svg,Hieratisch,"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.313","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 21, Tag 28, Mesore",https://aku-pal.uni-mainz.de/datings/113,FALSE
510,58,B1,𓁐,svgs/ht/ht_510.svg,Hieratisch,"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.314","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 19, Tag 26, Pachon",https://aku-pal.uni-mainz.de/datings/114,FALSE
511,27,A48,𓀹,svgs/ht/ht_511.svg,Hieratisch,"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.313","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 21, Tag 28, Mesore",https://aku-pal.uni-mainz.de/datings/113,FALSE
512,62,B4,𓁓,svgs/ht/ht_512.svg,Hieratisch,"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.313","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 21, Tag 28, Mesore",https://aku-pal.uni-mainz.de/datings/113,FALSE
513,62,B4,𓁓,svgs/ht/ht_513.svg,Hieratisch,"Edinburgh, National Museums of Scotland, The Royal Museum of Scotland, A 1956.314","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 19, Tag 26, Pachon",https://aku-pal.uni-mainz.de/datings/114,FALSE
514,60,B7C,B7C,svgs/ht/ht_514.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3030 A-E","Griechisch-römische Zeit, Antoninische Dynastie, Hadrian, Regierungsjahr 8",https://aku-pal.uni-mainz.de/datings/151,FALSE
515,60,B7C,B7C,svgs/ht/ht_515.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3030 A-E","Griechisch-römische Zeit, Antoninische Dynastie, Hadrian, Regierungsjahr 8",https://aku-pal.uni-mainz.de/datings/151,FALSE
516,58,B1,𓁐,svgs/ht/ht_516.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3030 A-E","Griechisch-römische Zeit, Antoninische Dynastie, Hadrian, Regierungsjahr 8",https://aku-pal.uni-mainz.de/datings/151,FALSE
517,58,B1,𓁐,svgs/ht/ht_517.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3030 A-E","Griechisch-römische Zeit, Antoninische Dynastie, Hadrian, Regierungsjahr 8",https://aku-pal.uni-mainz.de/datings/151,FALSE
518,27,A48,𓀹,svgs/ht/ht_518.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3030 A-E","Griechisch-römische Zeit, Antoninische Dynastie, Hadrian, Regierungsjahr 8",https://aku-pal.uni-mainz.de/datings/151,FALSE
519,61,B2,𓁑,svgs/ht/ht_519.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3030 A-E","Griechisch-römische Zeit, Antoninische Dynastie, Hadrian, Regierungsjahr 8",https://aku-pal.uni-mainz.de/datings/151,FALSE
520,60,B7C,B7C,svgs/ht/ht_520.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3135","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios XIV. – Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Claudius",https://aku-pal.uni-mainz.de/datings/150,FALSE
521,58,B1,𓁐,svgs/ht/ht_521.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3135","Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios XIV. – Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Claudius",https://aku-pal.uni-mainz.de/datings/150,FALSE
523,224,F8,𓄆,svgs/ht/ht_523.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3049","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/185,FALSE
524,117,C4,𓁠,svgs/ht/ht_524.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3057","Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander der Große – Griechisch-römische Zeit, Ptolemäerzeit",https://aku-pal.uni-mainz.de/datings/129,TRUE
525,779,C10,𓁦,svgs/ht/ht_525.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 13242 Ro","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus",https://aku-pal.uni-mainz.de/datings/128,FALSE
526,784,C12,𓁩,svgs/ht/ht_526.svg,Hieratisch,"Leiden, Rijksmuseum van Oudheden, L.I.2","Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Nero, Regierungsjahr 11, Tag 30, Phamenoth",https://aku-pal.uni-mainz.de/datings/125,FALSE
535,126,D3,𓁸,svgs/ht/ht_535.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3014 + P. 3053","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/88,FALSE
536,126,D3,𓁸,svgs/ht/ht_536.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
537,159,D40,𓂡,svgs/ht/ht_537.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
538,123,D1,𓁶,svgs/ht/ht_538.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
539,123,D1,𓁶,svgs/ht/ht_539.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
540,124,D2,𓁷,svgs/ht/ht_540.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
541,124,D2,𓁷,svgs/ht/ht_541.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
542,124,D2,𓁷,svgs/ht/ht_542.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
543,128,D4,𓁹,svgs/ht/ht_543.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
544,128,D4,𓁹,svgs/ht/ht_544.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
545,128,D4,𓁹,svgs/ht/ht_545.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
546,130,D6,𓁻,svgs/ht/ht_546.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
547,130,D6,𓁻,svgs/ht/ht_547.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
548,1292,D143,D143,svgs/ht/ht_548.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3048 ro","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/767,FALSE
549,133,D10,𓂀,svgs/ht/ht_549.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3055","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/766,FALSE
550,133,D10,𓂀,svgs/ht/ht_550.svg,Hieratisch,"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3056","Dritte Zwischenzeit, 22.–23. Dynastie",https://aku-pal.uni-mainz.de/datings/768,FALSE
