datierung,startdatum,enddatum,epoche,epoche_startdatum,epoche_enddatum
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 2, Jahreszeit šm.w, Tag 12",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 2, Jahreszeit šm.w, Tag 14",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 2, Jahreszeit ꜣḫ.t, Tag 30",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 3, Jahreszeit pr.t, Tag 10",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 4, Jahreszeit šm.w, Tag 20",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 9 – Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 9",-1286,-1270,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II.",-1200,-1194,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II. – Neues Reich, 19. Dynastie, Siptah",-1200,-1188,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II., Monat 3, Jahreszeit ꜣḫ.t, Tag 24",-1200,-1194,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II., Regierungsjahr 1",-1200,-1199,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II., Regierungsjahr 4",-1197,-1196,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II., Regierungsjahr 4 – Neues Reich, 19. Dynastie, Siptah, Regierungsjahr 4",-1197,-1190,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Siptah",-1194,-1188,Neues Reich,-1550,-1069
