text,aku_text_id,aku_url,n_signs,genre,textinhalt_raw,datierung,epoche,date_start,date_end,date_mid,register,notes
Beit Khallaf K1.7,5001214,https://aku-pal.uni-mainz.de/texts/5001214,3,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 3. Dynastie, Djoser (Netjerichet) – Altes Reich, 3. Dynastie, Nebka (Sanacht)",Altes Reich,-2667,-2667,-2667,,
"New York City, Metropolitan Museum of Art, 22.3.519",5000019,https://aku-pal.uni-mainz.de/texts/5000019,3,Brief,Brief (an einen Lebenden),"Mittleres Reich, 12. Dynastie, Sesostris I.",Mittleres Reich,-1956,-1911,-1934,,
"London, Petrie Museum of Egyptian Archaeology, UC 38178 A",5000261,https://aku-pal.uni-mainz.de/texts/5000261,2,Juristische Urkunde,Juristische Urkunde,"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 33, Monat 1, Jahreszeit ꜣḫ.t, Tag 5",Neues Reich,-1358,-1357,-1358,,
"London, Petrie Museum of Egyptian Archaeology, 32230",5000332,https://aku-pal.uni-mainz.de/texts/5000332,2,Administrativer Text,Administrativer Text (oil delivery),"Neues Reich, 18. Dynastie, Tutanchamun, Regierungsjahr 2",Neues Reich,-1335,-1334,-1334,,
"London, Petrie Museum of Egyptian Archaeology, UC 38177",5000260,https://aku-pal.uni-mainz.de/texts/5000260,2,Juristische Urkunde,Juristische Urkunde,"Neues Reich, 18. Dynastie, Amenhotep III., Regierungsjahr 33, Monat 1, Jahreszeit ꜣḫ.t, Tag 5",Neues Reich,-1358,-1357,-1358,,
"London, Petrie Museum of Egyptian Archaeology, 32202",5000322,https://aku-pal.uni-mainz.de/texts/5000322,2,Brief,Brief (an einen Lebenden),"Mittleres Reich, 12. Dynastie, Amenemhet III. – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre",Mittleres Reich,-1831,-1773,-1802,,
"London, Petrie Museum of Egyptian Archaeology, 32161",5000316,https://aku-pal.uni-mainz.de/texts/5000316,2,Mathematischer Text,Mathematischer Text,"Mittleres Reich, 12. Dynastie, Amenemhet III. – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre",Mittleres Reich,-1831,-1773,-1802,,
"London, Petrie Museum of Egyptian Archaeology, 32215",5000320,https://aku-pal.uni-mainz.de/texts/5000320,2,Brief,Brief (an einen Lebenden),"Mittleres Reich, 12. Dynastie, Amenemhet III. – Mittleres Reich, 12. Dynastie, Nefrusobek Kasobekre",Mittleres Reich,-1831,-1773,-1802,,
D. Abusir 2,5000354,https://aku-pal.uni-mainz.de/texts/5000354,2,Besuchertext,Besuchertext,"Neues Reich, 18. Dynastie, Thutmosis III.",Neues Reich,-1479,-1425,-1452,,
"London, Petrie Museum of Egyptian Archaeology, 46316",5000346,https://aku-pal.uni-mainz.de/texts/5000346,2,nicht spezifiziert,nicht spezifiziert,"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton, Regierungsjahr 7",Neues Reich,-1346,-1345,-1346,,
"P. Illahun, Berlin Brief R",5000393,https://aku-pal.uni-mainz.de/texts/5000393,2,nicht spezifiziert,nicht spezifiziert,Mittleres Reich,Mittleres Reich,-2055,-1650,-1852,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10016",5000395,https://aku-pal.uni-mainz.de/texts/5000395,2,Brief,Brief (an einen Lebenden),"Mittleres Reich, 12. Dynastie, Amenemhet III., Regierungsjahr 18, Monat 2, Jahreszeit šm.w, Tag 13",Mittleres Reich,-1814,-1813,-1814,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 2146",5000212,https://aku-pal.uni-mainz.de/texts/5000212,2,Nichtköniglicher Historischer Text,Nichtköniglicher Historischer Text,"Neues Reich, 18. Dynastie, Thutmosis III. (Alleinregierung), Regierungsjahr 37, Monat 4, Jahreszeit pr.t, Tag 11",Neues Reich,-1431,-1425,-1428,,
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3043",5000106,https://aku-pal.uni-mainz.de/texts/5000106,2,Literarischer Text,Literarischer Text,"Neues Reich, 19. Dynastie, Merenptah – Neues Reich, 19. Dynastie, Sethos II.",Neues Reich,-1213,-1194,-1204,,
