"sign ID","grapheme ID","mdc"
"1453","217","F21"
"1454","235","F18"
"1455","235","F18"
"1456","235","F18"
"1457","219","F20"
"1458","223","F25"
"1459","223","F25"
"1460","233","F22"
"1461","226","F26"
"1462","226","F26"
"1463","220","F27"
"1464","220","F27"
"1465","220","F27"
"1466","220","F27"
"1467","220","F27"
"1468","221","F29"
"1469","221","F29"
"1470","237","F32"
"1471","238","F33"
"1472","1775","F37"
"1473","244","F37B"
"1474","250","F51"
"1475","241","F34"
"1476","240","F35"
"1477","239","F36"
"1478","239","F36"
"1479","239","F36"
"1480","242","F45"
"1481","242","F45"
"1482","242","F45"
"1483","249","F46"
"1484","256","G5"
"1485","258","G6"
"1486","259","G7"
"1487","259","G7"
"1488","43","A24"
"1489","1615","1"
"1492","259","G7"
"1493","260","R13"
"1495","260","R13"
"1496","252","G4"
"1498","251","G1"
"1499","251","G1"
"1500","251","G1"
"1501","251","G1"
"1502","251","G1"
"1503","253","G14"
"1504","265","G17"
"1505","265","G17"
"1506","287","G37"
"1507","287","G37"
"1508","286","G36"
"1510","276","G22"
"1511","276","G22"
"1512","267","G43"
"1513","267","G43"
"1514","1765","Z7"
"1515","1765","Z7"
"1516","285","G32"
"1517","290","G25"
"1518","280","G28"
"1519","280","G28"
"1523","281","G29"
"1524","281","G29"
"1525","281","G29"
"1526","292","G27"
"1527","291","G35"
"1528","271","G39"
"1529","271","G39"
"1530","268","G38"
"1531","1691","G80"
"1532","274","G41"
"1533","274","G41"
"1536","295","G47"
"1537","279","G50"
"1539","296","G49"
"1540","266","G21"
"1541","297","H2"
"1542","297","H2"
"1543","297","H2"
"1544","299","H3"
"1546","299","H3"
"1547","305","H5"
"1548","306","H6"
"1549","306","H6"
"1550","308","H8"
"1551","308","H8"
"1552","325","I2"
"1553","326","I1"
"1554","319","I3"
"1555","321","I5"
"1556","313","I12"
"1557","434","I14"
"1558","311","I10"
"1559","311","I10"
"1560","311","I10"
"1561","688","V21"
"1562","329","K1"
"1563","329","K1"
"1564","329","K1"
"1565","329","K1"
"1566","332","K5"
"1567","332","K5"
"1568","332","K5"
"1569","844","K5:D54"
"1570","330","K2"
"1571","331","K4"
"1572","331","K4"
"1573","337","L1"
"1574","337","L1"
"1575","338","L2"
"1576","342","L5"
"1577","309","I9"
"1578","309","I9"
"1580","1392","M1A"
"1581","1392","M1A"
"1582","383","M43"
"1583","384","M2"
"1584","384","M2"
"1586","347","M3"
"1587","349","M4"
"1588","349","M4"
"1589","350","M6"
"1590","350","M6"
"1592","353","M8"
"1593","357","M9"
"1594","357","M9"
"1595","355","M111"
"1596","354","M12"
"1597","362","M16"
"1598","363","M13"
"1599","363","M13"
"1600","364","M14"
"1601","368","M17"
"1602","368","M17"
"1604","369","M18"
"1605","369","M18"
"1606","365","M20"
"1608","372","M23"
"1609","373","M24"
"1610","375","M26"
"1611","378","M34"
"1612","378","M34"
"1613","378","M34"
"1615","1463","M33B"
"1616","387","M29"
"1617","388","M30"
"1618","385","M44"
"1619","389","N1"
"1620","390","N2"
"1621","393","N4"
"1622","393","N4"
"1623","394","N5"
"1624","394","N5"
"1625","394","N5"
"1626","394","N5"
"1627","395","N8"
"1628","401","N11"
"1629","401","N11"
"1630","401","N11"
"1635","403","N14"
"1636","405","N64"
"1639","412","N29"
"1640","412","N29"
"1641","414","N31"
"1642","414","N31"
"1643","43","A24"
"1644","426","N23"
"1645","754","Aa15"
"1646","1650","Aa16"
"1647","1650","Aa16"
"1648","419","N33"
"1649","419","N33"
"1650","419","N33"
"1651","423","N18"
"1652","432","N35"
"1653","432","N35"
"1654","432","N35"
"1656","432","N35"
"1658","427","N36"
"1659","429","N37"
"1660","429","N37"
"1661","430","N40"
"1662","435","O49"
"1663","456","O1"
"1664","456","O1"
"1665","452","O4"
"1666","452","O4"
"1667","443","O6"
"1668","447","O90"
"1669","473","O39"
"1670","438","O36"
"1671","439","O37"
"1672","468","O28"
"1673","470","O29"
"1674","477","O31"
"1675","478","O34"
"1676","479","O35"
"1677","441","O42"
"1678","495","P1"
"1679","496","P1A"
"1680","498","P4"
"1681","498","P4"
"1682","497","P3"
"1684","500","P5"
"1685","501","P6"
"1686","504","P8"
"1687","507","Q1"
"1688","507","Q1"
"1689","1678","Gx3"
"1690","509","Q3"
"1691","509","Q3"
"1692","674","V17"
"1693","674","V17"
"1694","658","U28"
"1695","658","U28"
"1696","324","I6"
"1697","324","I6"
"1698","324","I6"
"1699","324","I6"
"1700","660","U30"
"1701","660","U30"
"1702","516","Q7"
"1703","719","W11"
"1704","719","W11"
"1706","696","V29"
"1707","696","V29"
"1708","663","U33"
"1709","663","U33"
"1711","662","U32"
"1712","662","U32"
"1713","662","U32"
"1714","465","O50"
"1715","465","O50"
"1716","669","U39"
"1717","669","U39"
"1718","236","F31"
"1719","579","S23"
"1720","579","S23"
"1721","579","S23"
"1722","573","S20"
"1723","573","S20"
"1724","586","S32"
"1725","586","S32"
"1726","585","S28"
"1727","585","S28"
"1728","587","S29"
"1729","577","S33"
"1730","577","S33"
"1731","612","T9"
"1732","614","T12"
"1733","614","T12"
"1734","615","T11"
"1735","623","T30"
"1736","621","T18"
"1737","625","T31"
"1738","588","S123"
"1739","416","N42"
"1740","604","T3"
"1741","604","T3"
"1742","604","T3"
"1743","597","S42"
"1744","592","S38"
"1745","594","S40"
"1746","599","S43"
"1747","599","S43"
"1748","599","S43"
"1749","609","T14"
"1751","692","V22"
"1752","617","T19"
"1753","617","T19"
"1754","618","T21"
"1755","618","T21"
"1756","618","T21"
"1757","618","T21"
"1758","630","T25"
"1759","630","T25"
"1760","631","T26"
"1761","631","T26"
"1762","631","T26"
"1763","645","U7"
"1764","647","U17"
"1765","643","U13"
"1766","639","U2"
"1767","639","U2"
"1768","642","U5"
"1769","642","U5"
"1770","650","U9"
"1771","686","V19"
"1772","506","P11"
"1773","1004","U35"
"1774","693","V24"
"1775","693","V24"
"1776","694","V26"
"1777","761","Aa24"
"1778","761","Aa24"
"1779","753","Aa11"
"1780","753","Aa11"
"1782","648","U19"
"1783","648","U19"
"1784","649","U21"
"1785","654","U22"
"1786","654","U22"
"1830","8","A28"
"1831","7","A30"
"1835","746","Aa1"
"1836","746","Aa1"
"1837","746","Aa1"
"1838","747","Aa2"
"1839","747","Aa2"
"1840","748","Aa3"
